[17:12:30] [main/INFO]: ModLauncher running: args [--username, ZanderOfficial, --version, forge-47.3.10, --gameDir, C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack, --assetsDir, C:\Users\imthe\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 22726749441b44ac97f051a3eda4fe27, --accessToken, ????????, --clientId, Y2I4OTkxNmMtNmFlMy00YTkwLWIyY2MtYjUzNzM2MzZmNzdh, --xuid, 2535444165020777, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\imthe\curseforge\minecraft\Install\quickPlay\java\1739398348114.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.10, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[17:12:30] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[17:12:31] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[17:12:31] [main/INFO]: Trying GL version 4.6
[17:12:31] [main/INFO]: Requested GL version 4.6 got version 4.6
[17:12:31] [main/INFO]: Mixin Transmogrifier is definitely up to no good...
[17:12:31] [main/INFO]: crimes against java were committed
[17:12:31] [main/INFO]: Original mixin transformation service successfully crobbed by mixin-transmogrifier!
[17:12:32] [main/INFO]: Launching CrashAssistantApp
[17:12:32] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/imthe/curseforge/minecraft/Instances/SpotsyltuckyPack/mods/Connector-1.0.0-beta.46+1.20.1.jar%23376%23381!/ Service=ModLauncher Env=CLIENT
[17:12:32] [main/INFO]: Found mod file Connector-1.0.0-beta.46+1.20.1-mod.jar of type MOD with provider org.sinytra.connector.locator.ConnectorEarlyLocator@53ac845a
[17:12:32] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 4060 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 572.16, NVIDIA Corporation
[17:12:33] [main/INFO]: Found mod file BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file betterfpsdist-1.20.1-6.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file BetterTridents-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file BHMenu-Forge-1.20.1-2.4.2.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file biomemusic-1.20.1-3.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file blueprint-1.20.1-7.1.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file boatload-1.20.1-5.0.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file buzzier_bees-1.20.1-6.0.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file cbabo V1.1 forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file cfwinfo-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file chat_heads-0.13.9-forge-1.20.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file chefs-delight-1.0.3-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Chimes-v2.0.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file citadel-2.6.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file clientcrafting-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file comforts-forge-6.4.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file ConfiguredDefaults-v8.0.4-1.20.1-Forge.jar of type LANGPROVIDER with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file connectivity-1.20.1-6.5.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file ConnectorExtras-1.11.2+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file copycats-2.1.4+mc.1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Corgilib-Forge-1.20.1-4.0.3.3.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file coroutil-forge-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file corpse-forge-1.20.1-1.0.19.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file crashexploitfixer-forge-1.1.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file CraterLib-Forge-1.20-2.1.2+hotfix.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Create Sweets And Treats 1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create-1.20.1-0.5.1.j.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create-confectionery1.20.1_v1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Create-DnDesire-1.20.1-0.1b.Release-Early-Dev.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create-food-1.20.1-1.1.7-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create-new-age-forge-1.20.1-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create-stuff-additions1.20.1_v2.0.6.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_aquatic_ambitions-1.20.1-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_central_kitchen-1.20.1-for-create-0.5.1.f-1.3.12.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_compressed_1.0.1_forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_connected-0.9.3-mc1.20.1-all.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_deepfried-1.20.1-0.1.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_enchantment_industry-1.20.1-for-create-0.5.1.f-1.2.9.d.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_ex_gears_unofficial-2.1.2-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_factory-0.4b-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_jetpack-forge-4.3.2.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_kart-1.0.2-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_logistics-1.20.1-0.0.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_mechanical_chicken-1.20.1-1.1.2.j-55.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_misc_and_things_ 1.20.1_4.0A.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_optical-0.2.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Create_Questing-FORGE-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_recycle_1.0.2_forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_sabers-1.20.1-1.3.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_tweaked_controllers-1.20.1-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_winery-1.2.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file create_wt-forge-1.20.1-1.0.7.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createaddition-1.20.1-1.2.5.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createbicbit-1.20.1-0.0.86.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createbigcannons-5.8.2-mc.1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createcafe-1.2.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file CreateCasing-1.20.1-1.6.2-fix1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createdeco-2.0.2-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createdieselgenerators-1.20.1-1.2i.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createframed-1.20.1-1.5.6.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file creategoggles-1.20.1-0.5.6-[FORGE].jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createmetallurgy-0.0.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createrailwaysnavigator-forge-1.20.1-beta-0.7.2.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createstuffadditionsfix-forge-1.20.1-0.0.0.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file CreateTankDefenses v0.80.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file createutilities-0.3.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Crystal-Clear-2.1-Beta-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file curios-forge-5.11.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file CutThrough-v8.0.2-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Delightful-1.20.1-3.6.2.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file design_decor-0.4.0b-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file despawn_tweaker-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file drippyloadingscreen_forge_3.0.9_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file dsbg-1.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file dynamicvillage-v0.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file easy-villagers-forge-1.20.1-1.1.23.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file EasyAnvils-v8.0.2-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file EasyMagic-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.1.19.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file entity_model_features_forge_1.20.1-2.4.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file entity_texture_features_forge_1.20.1-6.2.9.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file EpheroLib-1.20.1-FORGE-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Estrogen-4.3.2+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file everycomp-1.20-2.7.12.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file fabric-api-0.92.2+1.11.9+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file fancymenu_forge_3.3.2_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.6.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file FarmersStructures-1.0.3-1.20.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file farsight-1.20.1-3.7.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file framework-forge-1.20.1-0.7.12.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file ftb-library-forge-2001.2.7.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file ftb-quests-forge-2001.4.9.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file ftb-teams-forge-2001.3.0.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file fusion-1.2.3-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file fzzy_config-0.6.2+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file garnished-2.0.3+1.20.1-neoforged.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.7.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file gourmet-0.1.1b-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file gpumemleakfix-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file handcrafted-forge-1.20.1-3.0.6.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Highlighter-1.20.1-forge-1.1.9.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file Iceberg-1.20.1-forge-1.1.25.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file idas_forge-1.10.3+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
[17:12:33] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.3.3+1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\imthe\curseforge\minecraft\Instances\SpotsyltuckyPack\mods}
